시군구코드,접수년도,처리구분,접수번호,물건번호,상세물건번호,변경구분,공개반영일,읍면동코드,시군구명,읍면동리명,용도지역코드,용도지역명,건물구분,계약일,전용면적,대지권면적,층수,지분거래구분,거래금액,건축년도,건물주용도코드,건물주용도명,해제여부,해제사유,해제사유발생일,중개구분,중개업소주소,매도자거래주체정보,매수자거래주체정보,신고번호,물건번호
41194,2024,4,2429,1,1,C,20240417072851,4119410600,경기도부천시소사구,옥길동,UQA130,준주거,집합,20240320,59.22,,1,,87747,2023,04999,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,99343177,1
41480,2024,4,4345,1,1,,,4148012200,경기도 파주시,와동동,UQA210,중심상업,집합,20240321,33.68,,7,전체거래,15750,2023,03999,제1종근린생활,2,추가입력완료,,직거래,,법인,개인,89516809,1
41171,2024,4,1510,1,1,U,20240624040223,4117110100,경기도안양시만안구,안양동,UQA121,제1종일반주거,집합,20240415,33.2,,1,,10000,2006,03001,제1종근린생활,2,추가입력완료,,직거래,,개인,개인,134731703,1
41210,2024,4,4294,1,1,U,20240624040223,4121010300,경기도광명시,하안동,UQA220,일반상업,집합,20240605,46.9,,10,,13000,1991,10003,교육연구,2,추가입력완료,,직거래,,개인,개인,134719702,1
41210,2024,4,4294,2,1,U,20240624040223,4121010300,경기도광명시,하안동,UQA220,일반상업,집합,20240605,95.55,,10,,27000,1991,04010,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,134719702,2
41194,2024,4,2431,1,1,C,20240417072851,4119410600,경기도부천시소사구,옥길동,UQA130,준주거,집합,20240320,59.22,,1,,87747,2023,04999,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,99304181,1
41550,2024,4,4103,1,1,U,20240624040223,4155040023,경기도안성시,죽산면 장원리,UQA430,자연녹지,일반,20240602,85.76,272,,,20700,2019,04402,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,134222624,1
41360,2024,4,6073,1,1,U,20240624040223,4136011200,경기도남양주시,다산동,UQA130,준주거,집합,20240522,41.82,,,,45000,2022,04001,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,134143576,1
41285,2024,4,2745,1,1,,,4128511100,경기도 고양시일산동구,설문동,UQB100,계획관리,일반,20240325,187,437,,전체거래,66486,2023,03001,제1종근린생활,2,추가입력완료,,중개거래,경기 고양시일산동구,개인,개인,89433819,1
41285,2024,4,3032,1,1,C,20240423052423,4128510400,경기도고양시일산동구,장항동,UQA210,중심상업,집합,20240409,41.8,,1,,53000,2004,04002,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,102882570,1
41463,2024,4,3927,1,1,U,20240624040223,4146311600,경기도용인시기흥구,중동,UQA410,보전녹지,집합,20240619,74.32,,3,,76800,2019,11201,기타,2,추가입력완료,,중개거래,,개인,개인,134064569,1
41220,2024,4,13080,1,1,U,20240624040223,4122025040,경기도평택시,팽성읍 대사리,UQB200,생산관리,집합,20240603,48.45,,1,,33233,2024,03999,제1종근린생활,2,추가입력완료,,직거래,,법인,개인,133650516,1
41830,2024,4,1470,1,1,,,4183034023,경기도 양평군,옥천면 신복리,UQB100,계획관리,집합,20240311,45,,36,지분거래,1336,1988,15205,숙박,2,추가입력완료,,직거래,,개인,법인,77904467,1
41135,2024,4,2039,1,1,,,4113510700,경기도 성남시분당구,야탑동,UQA210,중심상업,집합,20240313,10,,,지분거래,1280,2003,07999,판매,2,추가입력완료,,직거래,,개인,개인,93148252,1
41463,2024,4,2687,1,1,U,20240525040329,4146311600,경기도용인시기흥구,중동,UQA410,보전녹지,집합,20240419,47.67,,14,,44300,2019,11201,기타,2,추가입력완료,,중개거래,,개인,개인,104585632,1
41480,2024,4,5781,1,1,U,20240525040329,4148026225,경기도파주시,조리읍 오산리,UQA420,생산녹지,일반,20240422,98,499,,,47185,2023,04005,제2종근린생활,2,추가입력완료,,중개거래,,법인,개인,103995596,1
41590,2024,4,13342,1,1,U,20240525040329,4159012700,경기도화성시,반송동,UQA210,중심상업,집합,20240419,87.25,,1,,93000,2010,04999,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,103827586,1
41590,2024,4,13342,2,1,U,20240525040329,4159012700,경기도화성시,반송동,UQA210,중심상업,집합,20240419,85.06,,1,,93000,2010,04999,제2종근린생활,2,추가입력완료,,직거래,,법인,개인,103827586,2
41590,2024,4,13105,1,1,U,20240525040329,4159041031,경기도화성시,정남면 제기리,UQB100,계획관리,일반,20240325,387.2,972,,,101500,,04005,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,101664507,1
41570,2024,4,3085,1,1,,,4157010400,경기도 김포시,장기동,UQA130,준주거,집합,20240311,75,,1,전체거래,104979,2020,03002,제1종근린생활,2,추가입력완료,,직거래,,개인,개인,92999249,1
41271,2024,4,1223,1,1,,,4127110400,경기도 안산시상록구,본오동,UQA220,일반상업,집합,20240325,27,,,전체거래,9243,1996,04001,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,92833249,1
41271,2024,4,1223,2,1,,,4127110400,경기도 안산시상록구,본오동,UQA220,일반상업,집합,20240325,49.11,,,전체거래,5757,1996,04001,제2종근린생활,2,추가입력완료,,직거래,,개인,개인,92833249,2
41273,2024,4,2207,1,1,U,20240511041315,4127310800,경기도안산시단원구,원곡동,UQA220,일반상업,집합,20240219,20.26,,,,3000,,07999,판매,C,계약해제,20240304,중개거래,,개인,개인,67636405,1
41271,2024,4,702,1,1,U,20240511041315,4127110200,경기도안산시상록구,이동,UQA112,제2종전용주거,집합,20240226,48,,1,,42500,2001,04001,제2종근린생활,2,추가입력완료,,중개거래,,개인,개인,67244339,1
